AAC	
Global Consumer Acquisition Corp	GHC	
Global Energy Holdings Grp. Inc.	GNH	
Global Entertainment	GEE	
Globalscape	GSB	
Globetel Comms	GTE	
Gold Reserve	GRZ	
Golden Pond Healthcare	GPH	
Golden Star	GSS	
Goldfield	GV	
Golf Trust of America	GTA	
Gorman Rupp	GRC	
Graham	GHM	
Great Basin Gold Ltd	GBG	
Green Builders	GBH	
Greenhunter Energy	GRH	
Grupo Simec	SIM	
Gsc Acquisition Company	GGA	
Gulfstream International Grp.	GIA	
H M G Courtland	HMG	
Halifax	HX	
Hallwood	HWG	
Hanover Cap Mortgage	HCM	
Harold Stores	HLD	
Hawk	HWK	
Hearusa	EAR	
Hemispherx	HEB	
Herald National Bank	HNB	
Hi Shear	HSR	
Hicks Acquisition Company I	TOH	
Highlands Acquisition Corp	HIA	
Hkn	HKN	
Hong Kong Highpower Technology Inc.	HPJ	
Hooper Holmes	HH	
Hq Sustainable Maritime Industries	HQS	
Hungarian Telephone	HTC	
Hyperdynamics	HDY	
Hythiam	HTM	
I G I	IG	
Ia Global	IAO	
Ideation Acquisition Corp	IDI	
Ilinc Comm	ILC	
Ilx Resorts	ILX	
Ima Exploration	IMR	
Imergent	IIG	
Immtech	IMM	
Imperial Oil	IMO	
Implant Sciences	IMX	
Income Op Rl	IOT	
Innsuites Hospitality	IHT	
Inovio	INO	
Insite Vision	ISV	
Intelli-check	IDN	
Intelligent Systems	INS	
Inter-atlantic Financial Inc.	IAN	
Interleukin Genetics	ILI	
International Absorbents	IAX	
International Royalty Corp.	ROY	
Interoil	IOC	
Intersearch Grp.	IGO	
Interstate General	IGC	
Inverness Medical	IMA	
Investors Capital	ICH	
Invitel Holdings a/s	IHO	
Inx	ISR	
Iparty	IPT	
Isco	ISO	
Isolagen	ILE	
Iteris	ITI	
Ivax Diagnostics	IVD	
Javelin Pharmaceuticals	JAV	
Jed Oil	JDO	
Jennifer Convertibles	JEN	
Jesup Lamont	JLI	
Kbl Healthcare Acquisition Corp Iii	KHA	
Keegan Resources Inc.	KGN	
Kimber	KBX	
Kodiak Oil Gas Corp	KOG	
Kowabunga!	KOW	
La Barge	LB	
Ladenburg Thalmann	LTS	
Lannett	LCI	
Lazare Kaplan	LKI	
Liberty Acquisition Holdings Corp.	LIA	
Lodgian	LGN	
Lucas Energy Inc.	LEI	
Lynch	LGL	
Mad Catz Interactive	MCZ	
Mag Silver Corp	MVG	
Maine & Maritimes	MAM	
Man Sang	MHJ	
Mass Health & Education	MHE	
Mastech Holdings	MHH	
Maxxam	MXM	
Mbf Healthcare Acquisition Corp.	MBH	
Media Entertainment Holdings	TVH	
Medicsight	MGT	
Mercantile Bancorp	MBR	
Merrill Lynch	BJT	
Merrimac	MRM	
Metalico	MEA	
Metalline Mining Company	MMG	
Metropolitan Health	MDF	
Mexco	MXC	
Mfs California Insured Municipal	CCA	
Midsouth Bancorp	MSL	
Midway Gold Corp	MDW	
Minco Gold Corp.	MGH	
Minefinders	MFN	
Mines	MGN	
Minnesota Municipal Income Portfolio	MXA	
Minrad	BUF	
Ml Str Ret Indl 15	DSP	
Morgan Stanley Dw Bridges R2000	EST	
Morgan Stanley Dw Pharma Boxes	RXB	
Mountain Province	MDM	
National Health Realty	NHR	
National Healthcare	NHC	
National Lampoon	NLN	
Nbc Capital	NBY	
Neostem	NBS	
Nephros	NEP	
Neuralstem Inc.	CUR	
Nevada Gold & Casino	UWN	
Nevsun	NSU	
New Dragon Asia Cp A	NWD	
New England D	NEN	
New Gold	NGD	
Nivs Intellimedia Technology Grp.	NIV	
North American Palla	PAL	
Northern Dynasty Mnl	NAK	
Northern Oil Gas	NOG	
Northgate Minerals L	NXG	
Nova Biosource Fuels	NBF	
Novadel	NVD	
Novagold Resources I	NG	
Nrdc Acquisition Corp	NAQ	
Ntn Buzztime	NTN	
Ntr Acquisition	NTQ	
Nts Realty Holdings Limited Partnership	NLP	
Nuveen Insured Massachusetts Tax-free	NGX	
Nuveen Missouri Premium Income Municipal	NOM	
Nuveen Pennsylvania	NPN	
Oceanaut	OKN	
Oilsands Quest	BQI	
On2	ONT	
Opko Health	OPK	
Orchids Paper Prod	TIS	
Orezone	OZN	
Orleans Homebuilders	OHB	
Orsus Xelent Technologies	ORS	
Overhill Farms	OFI	
Pacific Booker Minerals	PBM	
Pacific Office Properties Trust	PCE	
Pacific Rim Mining	PMU	
Palatin	PTN	
Paragon	PTG	
Paramount Gold and Silver Corp	PZG	
Park National	PRK	
Paxson Commun	PAX	
Peace Arch	PAE	
Petrocorp	PEX	
Pharmathene	PIP	
Phoenix Footwear	PXG	
Pinnacle Data Sys In	PNS	
Pioneer Diversified High Income Trust	HNW	
Pioneer Drilling	PDC	
Pitts W Virginia Rr	PW	
Platinum Grp. Metals Ltd	PLG	
Plus	PLM	
Pma Cap 8.5 Sr Nts	PMK	
Pmc Commercial Sbi	PCC	
Polaris Acquisition Corp.	TKP	
Premium Mandatory	CQP	
Pres Rlty Cp	PDL.B	
Pres Rlty Cp	PDL.A	
Pro	PRW	
Procera Networks	PKT	
Proliance	PLI	
Prospect Medical	PZZ	
Protalix Biotherapeutics	PLX	
Proterion	PRC	
Pyramid Oil Company	PDO	
Q Comm	QMM	
